Platz,Team,Spiele,Siege,Unentschieden,Niederlagen,Tore,Differenz,Punkte
1,Hamburger SV,29,14,10,5,63:36,27,52
2,1. FC Köln,29,15,6,8,43:34,9,51
3,SV Elversberg,29,13,8,8,54:33,21,47
4,Fortuna Düsseldorf,29,13,8,8,47:42,5,47
5,1. FC Magdeburg,29,12,10,7,55:42,13,46
6,1. FC Kaiserslautern,29,13,7,9,50:45,5,46
7,SC Paderborn 07,29,12,9,8,48:39,9,45
8,1. FC Nürnberg,29,13,5,11,49:45,4,44
9,Hannover 96,29,11,10,8,35:30,5,43
10,Karlsruher SC,29,11,8,10,47:50,-3,41
11,FC Schalke 04,29,10,7,12,48:52,-4,37
12,Hertha BSC,29,10,6,13,43:45,-2,36
13,SV Darmstadt 98,29,9,8,12,48:46,2,35
14,SpVgg Greuther Fürth,29,9,8,12,41:53,-12,35
15,Eintracht Braunschweig,29,7,9,13,32:54,-22,30
16,Preußen Münster,29,6,10,13,29:37,-8,28
17,SSV Ulm 1846 Fußball,29,5,11,13,29:35,-6,26
18,Jahn Regensburg,29,6,4,19,18:61,-43,22
